,Date,Province_Id,Daily_Total,Daily_100k,N_Day_Rate,NDR_Change,NDRC_Sliding_Window
14,2020-03-15,10,52,2.6167866865945038,,,
672,2020-03-15,20,22.0,1.9715116565626696,,,
1402,2020-03-15,30,97,7.622262664743028,,,
2132,2020-03-15,40,171.0,3.9079881334283133,,,
15,2020-03-16,10,83,4.176794134371996,,,
673,2020-03-16,20,50.0,4.480708310369703,,,
1403,2020-03-16,30,157,12.337064313037684,37.113115899107896,,
2133,2020-03-16,40,290.0,6.627582214586028,41.12391142709943,,
2134,2020-03-17,40,304.0,6.9475344594281125,46.09993422996487,1.121000717835084,
1404,2020-03-17,30,131,10.293983598776666,48.7716551639985,1.3141352856651642,
16,2020-03-17,10,111,5.585833119461345,50.44950015003154,,
674,2020-03-17,20,62.0,5.556078304858432,51.828784320517975,,
17,2020-03-18,10,105,5.283896194085055,52.63197220423332,1.043260528800312,
675,2020-03-18,20,36.0,3.226109983466186,43.52101787466182,0.8397074800273239,
1405,2020-03-18,30,117,9.193863214174579,46.08729887425037,0.9449607301470132,
2135,2020-03-18,40,258.0,5.8962627978041215,45.03602721262638,0.9769217237484266,
18,2020-03-19,10,177,8.907139298600523,43.64918291245024,0.8293282786948164,
676,2020-03-19,20,104.0,9.319873285568983,47.38322307855788,1.0887434483958762,
1406,2020-03-19,30,118,9.272443241646156,51.0995880153456,1.108756409325947,
2136,2020-03-19,40,399.0,9.118638977999398,54.934330799259946,1.219786339942935,
2137,2020-03-20,40,309.0,7.061803118300285,58.77002393409404,1.0698232431164114,
1407,2020-03-20,30,112,8.800963076816693,58.37712379673616,1.1424186781937469,
19,2020-03-20,10,184,9.25939904487286,61.7402600438049,1.4144654246481774,
677,2020-03-20,20,13.0,1.1649841606961229,53.9981049059005,1.13960388081612,
20,2020-03-21,10,136,6.843903641862548,51.52213526219406,0.8344981900892375,
678,2020-03-21,20,31.0,2.778039152429216,45.02773117297712,0.8338761379023292,
1408,2020-03-21,30,109,8.56522299440196,44.47431518937969,0.7618449196681086,
