,Date,Province_Id,Holiday,Vacation
0,2020-03-15,30,0,1
1,2020-03-16,30,0,1
2,2020-03-17,30,0,1
3,2020-03-18,30,0,1
4,2020-03-19,30,0,1
5,2020-03-20,30,0,1
6,2020-03-21,30,0,1
7,2020-03-22,30,0,1
8,2020-03-23,30,0,1
9,2020-03-24,30,0,1
10,2020-03-25,30,0,1
11,2020-03-26,30,0,1
12,2020-03-27,30,0,1
13,2020-03-28,30,0,1
14,2020-03-29,30,0,1
15,2020-03-30,30,0,1
16,2020-03-31,30,0,1
17,2020-04-01,30,0,1
18,2020-04-02,30,0,1
19,2020-04-03,30,0,1
20,2020-04-04,30,0,1
21,2020-04-05,30,0,1
22,2020-04-06,30,0,1
23,2020-04-07,30,0,1
24,2020-04-08,30,0,1
25,2020-04-09,30,0,1
26,2020-04-10,30,1,1
27,2020-04-11,30,1,1
28,2020-04-12,30,1,1
29,2020-04-13,30,1,1
30,2020-04-14,30,0,1
31,2020-04-15,30,0,1
32,2020-04-16,30,0,1
33,2020-04-17,30,0,1
34,2020-04-18,30,0,1
35,2020-04-19,30,0,1
36,2020-04-20,30,0,0
37,2020-04-21,30,0,0
38,2020-04-22,30,0,0
39,2020-04-23,30,0,0
40,2020-04-24,30,0,0
41,2020-04-25,30,0,0
42,2020-04-26,30,0,0
43,2020-04-27,30,0,0
44,2020-04-28,30,0,0
45,2020-04-29,30,0,0
46,2020-04-30,30,0,0
47,2020-05-01,30,1,0
48,2020-05-02,30,1,0
49,2020-05-03,30,1,0
50,2020-05-04,30,0,0
51,2020-05-05,30,0,0
52,2020-05-06,30,0,0
53,2020-05-07,30,0,0
54,2020-05-08,30,0,0
55,2020-05-09,30,0,0
56,2020-05-10,30,0,0
57,2020-05-11,30,0,0
58,2020-05-12,30,0,0
59,2020-05-13,30,0,0
60,2020-05-14,30,0,0
61,2020-05-15,30,0,0
62,2020-05-16,30,0,0
63,2020-05-17,30,0,0
64,2020-05-18,30,0,0
65,2020-05-19,30,0,0
66,2020-05-20,30,0,0
67,2020-05-21,30,1,0
68,2020-05-22,30,1,0
69,2020-05-23,30,1,0
70,2020-05-24,30,1,0
71,2020-05-25,30,0,0
72,2020-05-26,30,0,0
73,2020-05-27,30,0,0
74,2020-05-28,30,0,0
75,2020-05-29,30,0,0
76,2020-05-30,30,0,1
77,2020-05-31,30,0,1
78,2020-06-01,30,1,1
79,2020-06-02,30,0,1
80,2020-06-03,30,0,0
81,2020-06-04,30,0,0
82,2020-06-05,30,0,0
83,2020-06-06,30,0,0
84,2020-06-07,30,0,0
85,2020-06-08,30,0,0
86,2020-06-09,30,0,0
87,2020-06-10,30,0,0
88,2020-06-11,30,1,0
89,2020-06-12,30,1,0
90,2020-06-13,30,1,0
91,2020-06-14,30,1,0
92,2020-06-15,30,0,0
93,2020-06-16,30,0,0
94,2020-06-17,30,0,0
95,2020-06-18,30,0,0
96,2020-06-19,30,0,0
97,2020-06-20,30,0,0
98,2020-06-21,30,0,0
99,2020-06-22,30,0,0
100,2020-06-23,30,0,0
101,2020-06-24,30,0,0
102,2020-06-25,30,0,0
103,2020-06-26,30,0,0
104,2020-06-27,30,0,1
105,2020-06-28,30,0,1
106,2020-06-29,30,0,1
107,2020-06-30,30,0,1
108,2020-07-01,30,0,1
109,2020-07-02,30,0,1
110,2020-07-03,30,0,1
111,2020-07-04,30,0,1
112,2020-07-05,30,0,1
113,2020-07-06,30,0,1
114,2020-07-07,30,0,1
115,2020-07-08,30,0,1
116,2020-07-09,30,0,1
117,2020-07-10,30,0,1
118,2020-07-11,30,0,1
119,2020-07-12,30,0,1
120,2020-07-13,30,0,1
121,2020-07-14,30,0,1
122,2020-07-15,30,0,1
123,2020-07-16,30,0,1
124,2020-07-17,30,0,1
125,2020-07-18,30,0,1
126,2020-07-19,30,0,1
127,2020-07-20,30,0,1
128,2020-07-21,30,0,1
129,2020-07-22,30,0,1
130,2020-07-23,30,0,1
131,2020-07-24,30,0,1
132,2020-07-25,30,0,1
133,2020-07-26,30,0,1
134,2020-07-27,30,0,1
135,2020-07-28,30,0,1
136,2020-07-29,30,0,1
137,2020-07-30,30,0,1
138,2020-07-31,30,0,1
139,2020-08-01,30,0,1
140,2020-08-02,30,0,1
141,2020-08-03,30,0,1
142,2020-08-04,30,0,1
143,2020-08-05,30,0,1
144,2020-08-06,30,0,1
145,2020-08-07,30,0,1
146,2020-08-08,30,0,1
147,2020-08-09,30,0,1
148,2020-08-10,30,0,1
149,2020-08-11,30,0,1
150,2020-08-12,30,0,0
151,2020-08-13,30,0,0
152,2020-08-14,30,0,0
153,2020-08-15,30,0,0
154,2020-08-16,30,0,0
155,2020-08-17,30,0,0
156,2020-08-18,30,0,0
157,2020-08-19,30,0,0
158,2020-08-20,30,0,0
159,2020-08-21,30,0,0
160,2020-08-22,30,0,0
161,2020-08-23,30,0,0
162,2020-08-24,30,0,0
163,2020-08-25,30,0,0
164,2020-08-26,30,0,0
165,2020-08-27,30,0,0
166,2020-08-28,30,0,0
167,2020-08-29,30,0,0
168,2020-08-30,30,0,0
169,2020-08-31,30,0,0
170,2020-09-01,30,0,0
171,2020-09-02,30,0,0
172,2020-09-03,30,0,0
173,2020-09-04,30,0,0
174,2020-09-05,30,0,0
175,2020-09-06,30,0,0
176,2020-09-07,30,0,0
177,2020-09-08,30,0,0
178,2020-09-09,30,0,0
179,2020-09-10,30,0,0
180,2020-09-11,30,0,0
181,2020-09-12,30,0,0
182,2020-09-13,30,0,0
183,2020-09-14,30,0,0
184,2020-09-15,30,0,0
185,2020-09-16,30,0,0
186,2020-09-17,30,0,0
187,2020-09-18,30,0,0
188,2020-09-19,30,0,0
189,2020-09-20,30,0,0
190,2020-09-21,30,0,0
191,2020-09-22,30,0,0
192,2020-09-23,30,0,0
193,2020-09-24,30,0,0
194,2020-09-25,30,0,0
195,2020-09-26,30,0,0
196,2020-09-27,30,0,0
197,2020-09-28,30,0,0
198,2020-09-29,30,0,0
199,2020-09-30,30,0,0
200,2020-10-01,30,0,0
201,2020-10-02,30,0,0
202,2020-10-03,30,1,0
203,2020-10-04,30,0,0
204,2020-10-05,30,0,0
205,2020-10-06,30,0,0
